"PublisherIC";"PublisherName";"Region";"NumberOfEmployees"
231126;"MĚSTSKÁ ČÁST PRAHA 11";"Praha";250
231207;"MĚSTSKÁ ČÁST PRAHA - LYSOLAJE";"Praha";6
231304;"MĚSTSKÁ ČÁST PRAHA 19";"Praha";100
231355;"MĚSTSKÁ ČÁST PRAHA 15";"Praha";100
233129;"Město Beroun";"Středočeský kraj";200
234516;"Statutární město Kladno";"Středočeský kraj";500
235440;"Město Kolín";"Středočeský kraj";250
239402;"Město Lysá nad Labem";"Středočeský kraj";100
240389;"Městská část Praha Křeslice";"Praha";6
240702;"Město Říčany";"Středočeský kraj";200
242098;"MĚSTO DOBŘÍŠ";"Středočeský kraj";100
253979;"Město Cheb";"Karlovarský kraj";250
254061;"Město Mariánské Lázně";"Karlovarský kraj";100
256986;"Město Nepomuk";"Plzeňský kraj";50
257125;"Město Přeštice";"Plzeňský kraj";100
261238;"Statutární město Děčín";"Ústecký kraj";250
272728;"Město Jaroměř";"Královéhradecký kraj";100
277444;"Město Svitavy";"Pardubický kraj";100
282481;"Město Rosice";"Jihomoravský kraj";100
283193;"Město Hustopeče";"Jihomoravský kraj";100
285455;"Město Veselí nad Moravou";"Jihomoravský kraj";100
295841;"Město Žďár nad Sázavou";"Kraj Vysočina";200
300063;"Město Hlučín";"Moravskoslezský kraj";100
300535;"Statutární město Opava";"Moravskoslezský kraj";500
302724;"Město Jeseník";"Olomoucký kraj";250
305847;"MUZEUM TĚŠÍNSKA, příspěvková organizace";"Moravskoslezský kraj";50
353566;"Městská správa kin v Kolíně";"Středočeský kraj";10
370941;"Regionální muzeum v Chrudimi";"Pardubický kraj";20
377945;"Domov mládeže a školní jídelna Mariánské Lázně, příspěvková organizace";"Karlovarský kraj";25
417688;"Technické služby města Nového Jičína, příspěvková organizace";"Moravskoslezský kraj";100
486639;"Městské kulturní středisko Holešov, příspěvková organizace";"Zlínský kraj";50
489557;"Správa bytového fondu města Vítkova, příspěvková organizace";"Moravskoslezský kraj";10
581119;"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Havlíčkův Brod";"Kraj Vysočina";25
601152;"Střední zdravotnická škola, Opava, příspěvková organizace";"Moravskoslezský kraj";25
601233;"Rehabilitační ústav Hrabyně";"Moravskoslezský kraj";250
601683;"Základní škola a Mateřská škola logopedická Olomouc";"Olomoucký kraj";100
602132;"Střední průmyslová škola elektrotechniky a informatiky, Ostrava, příspěvková organizace";"Moravskoslezský kraj";50
637696;"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Žďár nad Sázavou";"Kraj Vysočina";25
641111;"Vzdělávací institut Středočeského kraje - Zařízení pro další vzdělávání pedagogických pracovníků";"Středočeský kraj";25
663565;"Střední škola oděvního a grafického designu, Lysá nad Labem, Stržiště 475.";"Středočeský kraj";50
673552;"Psychiatrická nemocnice Horní Beřkovice";"Ústecký kraj";500
842001;"Nemocnice Nové Město na Moravě, příspěvková organizace";"Kraj Vysočina";1000
842737;"Gymnázium, Ostrava-Zábřeh, Volgogradská 6a, příspěvková organizace";"Moravskoslezský kraj";25
843989;"Fakultní nemocnice Ostrava";"Moravskoslezský kraj";3000
846325;"Domov pro seniory Krnov";"Moravskoslezský kraj";100
846678;"Knihovna Třinec, příspěvková organizace";"Moravskoslezský kraj";25
848298;"Základní škola a Mateřská škola Bílovec, Komenského 701/3, příspěvková organizace";"Moravskoslezský kraj";50
851400;"Kino Oko";"Olomoucký kraj";6
871982;"Správa lázeňských parků, příspěvková organizace";"Karlovarský kraj";50
1312774;"Státní pozemkový úřad";"Praha";1500
14451018;"Střední odborná škola a Střední odborné učiliště, Česká Lípa, 28. října 2707, příspěvková organizace";"Liberecký kraj";100
15028216;"Střední odborná škola a Střední odborné učiliště Lanškroun";"Pardubický kraj";50
15054080;"Centrum sociálních služeb a pomoci Chrudim";"Pardubický kraj";50
21551464;"Městská knihovna Třeboň";"Jihočeský kraj";6
25007017;"Technické služby města Liberce a.s.";"Liberecký kraj";100
25171127;"Tělovýchovná zařízení města Tábora s.r.o.";"Jihočeský kraj";25
25207636;"Lesy města Rokycan, s.r.o.";"Plzeňský kraj";25
25968726;"Městský bytový podnik Vysoké Mýto s.r.o.";"Pardubický kraj";10
25997556;"Zdravotnický holding Královéhradeckého kraje a.s.";"Královéhradecký kraj";10
26392054;"Vědeckotechnický park Plzeň, a.s.";"Plzeňský kraj";10
26418274;"7U s.r.o.";"Praha";50
27520536;"Nemocnice Pardubického kraje, a.s.";"Pardubický kraj";5000
27530981;"Královéhradecká lékárna a.s.";"Královéhradecký kraj";50
45243956;"LÉČEBNA DLOUHODOBĚ NEMOCNÝCH";"Praha";50
45246211;"Základní umělecká škola Jižní Město, Praha 4, Křtinská 673";"Praha";50
45671303;"Základní škola, Znojmo, náměstí Republiky 9";"Jihomoravský kraj";50
46746862;"Střední odborná škola, Liberec, Jablonecká 999, příspěvková organizace";"Liberecký kraj";50
46773495;"Střední škola pedagogická, hotelnictví a služeb, Litoměřice, příspěvková organizace";"Ústecký kraj";100
46790039;"Základní škola a Mateřská škola při Nemocnici, Kadaň, Chomutovská 1289";"Ústecký kraj";25
47114304;"Zdravotní pojišťovna ministerstva vnitra České republiky";"Praha";500
47151552;"Frýdecká skládka, a.s.";"Moravskoslezský kraj";100
47274468;"Domov Severka Jiříkov, příspěvková organizace";"Ústecký kraj";50
47308095;"KULTURA A SPORT CHOMUTOV s.r.o.";"Ústecký kraj";50
47558415;"Obchodní akademie, Střední pedagogická škola a Jazyková škola s právem státní jazykové zkoušky, Beroun, U Stadionu 486";"Středočeský kraj";50
47657651;"Základní škola a Mateřská škola Frenštát pod Radhoštěm, Tyršova 913, okres Nový Jičín";"Moravskoslezský kraj";50
47673036;"Revírní bratrská pokladna, zdravotní pojišťovna";"Moravskoslezský kraj";250
47934832;"Střední škola hotelová a služeb Kroměříž";"Zlínský kraj";100
48004537;"Základní škola a Mateřská škola Cihelní, Karviná, příspěvková organizace";"Moravskoslezský kraj";50
48136069;"Státní úřad pro jadernou bezpečnost";"Praha";200
48364282;"Dopravní podnik Karlovy Vary, a.s.";"Karlovarský kraj";250
48380156;"Základní umělecká škola, Rokycany, Jiráskova 181";"Plzeňský kraj";25
48549037;"Grantová agentura České republiky";"Praha";100
48623687;"JIRÁSKOVO GYMNÁZIUM, Náchod, Řezníčkova 451";"Královéhradecký kraj";50
48804525;"Zdravotnická záchranná služba Moravskoslezského kraje, příspěvková organizace";"Moravskoslezský kraj";1000
48895598;"Vyšší odborná škola a Střední průmyslová škola Žďár nad Sázavou";"Kraj Vysočina";100
49156608;"Základní škola Luhačovice, příspěvková organizace";"Zlínský kraj";50
49241494;"Podpůrný a garanční rolnický a lesnický fond, a.s.";"Praha";100
49334191;"Technické služby města Nový Bydžov";"Královéhradecký kraj";50
49366378;"CASRI - Vědecké a servisní pracoviště tělesné výchovy a sportu";"Praha";25
49453866;"Slovácké vodárny a kanalizace, a. s.";"Zlínský kraj";250
49459881;"Gymnázium Tišnov, příspěvková organizace";"Jihomoravský kraj";50
49467352;"Nejvyšší státní zastupitelství";"Jihomoravský kraj";100
49558595;"Středisko volného času Lipník nad Bečvou, příspěvková organizace";"Olomoucký kraj";10
49589792;"Gymnázium, Šumperk, Masarykovo náměstí 8";"Olomoucký kraj";50
49710371;"Řízení letového provozu České republiky, státní podnik (ŘLP ČR, s.p.)";"Středočeský kraj";1000
49778129;"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Plzeň, Karlovarská 67";"Plzeňský kraj";50
49872516;"Domov sociálních služeb Meziboří, příspěvková organizace";"Ústecký kraj";100
60108631;"Vodovody a kanalizace Pardubice,a.s.";"Pardubický kraj";250
60126698;"Střední průmyslová škola stavební akademika Stanislava Bechyně,Havlíčkův Brod, Jihlavská 628";"Kraj Vysočina";25
60153245;"Gymnázium, Vrchlabí, Komenského 586";"Královéhradecký kraj";25
60153393;"Gymnázium, Dvůr Králové nad Labem, nám. Odboje 304";"Královéhradecký kraj";25
60371731;"Obchodní akademie, Vyšší odborná škola a Jazyková škola s právem státní jazykové zkoušky Uherské Hradiště";"Zlínský kraj";50
60433272;"Základní škola, Praha 8, Žernosecká 3";"Praha";50
60444509;"Základní umělecká škola Jana Hanuše, Praha 6, U Dělnického cvičiště";"Praha";50
60461071;"Vysoká škola uměleckoprůmyslová v Praze";"Praha";100
60555530;"Vojenská nemocnice Brno";"Jihomoravský kraj";500
60680342;"Střední průmyslová škola Edvarda Beneše a Obchodní akademie Břeclav, příspěvková organizace";"Jihomoravský kraj";100
60733098;"Brněnské komunikace a.s.";"Jihomoravský kraj";250
60800691;"Vojenská nemocnice Olomouc";"Olomoucký kraj";500
60884690;"Střední škola zemědělská a ekologická a střední odborné učiliště chladicí a klimatizační techniky, Kostelec nad Orlicí";"Královéhradecký kraj";50
61222356;"Základní umělecká škola, Hradec Králové, Habrmanova 130";"Královéhradecký kraj";50
61379425;"Drážní úřad";"Praha";100
61385395;"Vyšší odborná škola sociálně právní";"Praha";25
61386871;"Vyšší odborná škola a Střední umělecká škola Václava Hollara, Praha 3, Hollarovo náměstí 2";"Praha";50
61388548;"Karlínská obchodní akademie a vyšší odborná škola ekonomická";"Praha";50
61388998;"ÚSTAV TERMOMECHANIKY AV ČR, v.v.i";"Praha";200
61515451;"Gymnázium, Teplice, Čs. dobrovolců 11, příspěvková organizace";"Ústecký kraj";50
61985911;"Domov Na zámečku Rokytnice, příspěvková organizace";"Olomoucký kraj";100
61988987;"Ostravská univerzita";"Moravskoslezský kraj";1000
62182137;"Zdravotnická záchranná služba Zlínského kraje, příspěvková organizace";"Zlínský kraj";250
62348337;"Základní škola, Ostrava-Poruba, Bulharská 1532, příspěvková organizace";"Moravskoslezský kraj";50
62690035;"Střední průmyslová škola stavební, Hradec Králové, Pospíšilova tř. 787";"Královéhradecký kraj";50
62690094;"Univerzita Hradec Králové";"Královéhradecký kraj";500
62913671;"Up Česká republika s.r.o.";"Praha";50
63699401;"Penzion pro seniory Frýdek-Místek, příspěvková organizace";"Moravskoslezský kraj";25
64123430;"Městská knihovna Rožnov pod Radhoštěm, příspěvková organizace";"Zlínský kraj";10
64627896;"Základní škola, Ostrava-Poruba, Ukrajinská 1533, příspěvková organizace";"Moravskoslezský kraj";25
64814467;"Technické služby města Jičína";"Královéhradecký kraj";100
65269705;"Fakultní nemocnice Brno";"Jihomoravský kraj";5000
65338090;"Regionální rozvojová agentura jižní Moravy";"Jihomoravský kraj";10
65642481;"Městská správa sociálních služeb Kadaň";"Ústecký kraj";100
66113334;"Mateřská škola \"V zahradě\", Liberec, Žitavská 122/68, příspěvková organizace";"Liberecký kraj";10
66185033;"Městská knihovna Bruntál";"Moravskoslezský kraj";10
66739721;"Mateřská škola Ostrava, Lechowiczova 8, příspěvková organizace";"Moravskoslezský kraj";20
67440479;"Základní umělecká škola Bohuslava Martinů Polička";"Pardubický kraj";25
67981801;"Ředitelství vodních cest ČR";"Praha";25
67985904;"Ústav živočišné fyziologie a genetiky AV ČR, v.v.i.";"Středočeský kraj";200
68081707;"Biofyzikální ústav AV ČR, v.v.i.";"Jihomoravský kraj";200
68081715;"Ústav analytické chemie AV ČR, v.v.i.";"Jihomoravský kraj";50
68378041;"Ústav experimentální medicíny AV ČR, v.v.i.";"Praha";200
68378068;"Ústav pro českou literaturu AV ČR, v.v.i.";"Praha";100
68378271;"Fyzikální ústav AV ČR, v.v.i.";"Praha";1000
68378289;"Ústav fyziky atmosféry AV ČR, v.v.i.";"Praha";100
68407700;"České vysoké učení technické v Praze";"Praha";5000
68975490;"AQUACENTRUM";"Ústecký kraj";25
69170754;"Technické služby města Přelouče";"Pardubický kraj";25
69781907;"Základní škola a mateřská škola Praha 5 - Smíchov, U Santošky 1/1007";"Praha";50
69793000;"Střední odborná škola a Střední odborné učiliště, Mladá Boleslav, Jičínská 762";"Středočeský kraj";50
70152497;"Základní škola a Praktická škola, Rychnov nad Kněžnou, Kolowratská 485";"Královéhradecký kraj";25
70157286;"Domov na rozcestí Svitavy";"Pardubický kraj";100
70188467;"Sociální služby města Havlíčkova Brodu";"Kraj Vysočina";100
70599921;"Základní škola Jeseník, příspěvková organizace";"Olomoucký kraj";50
70631816;"Domov pro seniory Kamenec, Slezská Ostrava, příspěvková organizace";"Moravskoslezský kraj";100
70836981;"Kancelář veřejného ochránce práv";"Jihomoravský kraj";100
70837881;"Vyšší odborná škola a Střední průmyslová škola elektrotechnická Františka Křižíka, Praha 1, Na Příkopě 16";"Praha";50
70839841;"Speciální základní škola a Speciální mateřská škola, Teplice, Trnovanská 1331, příspěvková organizace";"Ústecký kraj";50
70842779;"Základní škola a Odborná škola, Horšovský Týn, Nádražní 89";"Plzeňský kraj";50
70856508;"Státní fond dopravní infrastruktury";"Praha";100
70868476;"Centrum intervenčních a psychosociálních služeb Libereckého kraje, příspěvková organizace";"Liberecký kraj";25
70876541;"Domov seniorů Hranice, příspěvková organizace";"Olomoucký kraj";100
70881413;"Základní škola Jihlava,Kollárova 30, příspěvková organizace";"Kraj Vysočina";50
70886083;"Základní škola a Mateřská škola Pohádka, Hradec Králové, Mandysova 1434";"Královéhradecký kraj";50
70886334;"Městská knihovna Tábor";"Jihočeský kraj";25
70888671;"Technické služby Vysoké Mýto";"Pardubický kraj";50
70889953;"Povodí Vltavy, státní podnik";"Praha";500
70892156;"Ústecký kraj";"Ústecký kraj";500
70892822;"Pardubický kraj";"Pardubický kraj";250
70926921;"Základní škola Praha-Kolovraty";"Praha";50
70942285;"Základní umělecká škola Jindřicha Jindřicha Domažlice, příspěvková organizace";"Plzeňský kraj";25
70979090;"Státní oblastní archiv v Plzni";"Plzeňský kraj";100
70981434;"Mateřská škola Rokycany, Školní ulice 642, příspěvková organizace";"Plzeňský kraj";25
71001514;"Základní škola Židlochovice, okres Brno - venkov, příspěvková organizace";"Jihomoravský kraj";50
71009191;"Krajská hygienická stanice Jihomoravského kraje se sídlem v Brně";"Jihomoravský kraj";250
71176217;"Domov pod Kuňkou";"Pardubický kraj";50
71177108;"CPA DELFÍN, příspěvková organizace";"Zlínský kraj";25
71184465;"Domov pro seniory Velké Meziříčí, příspěvková organizace";"Kraj Vysočina";50
71184520;"Domov pro seniory Náměšť nad Oslavou, příspěvková organizace";"Kraj Vysočina";50
71185232;"Katastrální úřad pro Karlovarský kraj";"Karlovarský kraj";100
71185241;"Katastrální úřad pro Královéhradecký kraj";"Královéhradecký kraj";200
71194002;"Domov důchodců Police nad Metují";"Královéhradecký kraj";25
71220038;"Domov pro seniory Vratislavice nad Nisou, příspěvková organizace";"Liberecký kraj";50
71226401;"Vysoká škola polytechnická Jihlava";"Kraj Vysočina";200
71234489;"Zařízení sociální intervence Kladno";"Středočeský kraj";25
71294571;"Zemský hřebčinec Tlumačov s.p.o.";"Zlínský kraj";25
71294970;"Centrum sociálních služeb pro seniory Pohoda, příspěvková organizace";"Moravskoslezský kraj";100
72048905;"Speciální základní škola a praktická škola Skuteč";"Pardubický kraj";25
72052147;"Krajské ředitelství policie kraje Vysočina";"Kraj Vysočina";1500
72085142;"Základní umělecká škola Jaroslava Kociana, Ústí nad Orlicí";"Pardubický kraj";25
72496991;"Úřad práce České republiky";"Praha";10000
72555513;"Středisko volného času, Rosice, okres Brno - venkov, příspěvková organizace";"Jihomoravský kraj";10
72559772;"SPRÁVA MĚSTSKÝCH SPORTOVIŠŤ příspěvková organizace";"Karlovarský kraj";20
72563346;"14l15 Baťův institut, příspěvková organizace";"Zlínský kraj";25
72742429;"Mateřská škola, Liberec, Stromovka 285/1, příspěvková organizace";"Liberecký kraj";20
73184535;"Základní škola Frýdlant nad Ostravicí náměstí T.G. Masaryka 1260, příspěvková organizace";"Moravskoslezský kraj";50
75003716;"Nejvyšší správní soud";"Jihomoravský kraj";200
75014149;"Státní zemědělská a potravinářská inspekce";"Jihomoravský kraj";500
75034018;"Základní škola Mladá Boleslav, Václavkova 1082, příspěvková organizace";"Středočeský kraj";50
75080362;"Centrum volného času Kravaře, příspěvková organizace";"Moravskoslezský kraj";6
75080541;"Dům dětí a mládeže, Ostrava - Poruba, příspěvková organizace";"Moravskoslezský kraj";10
75112779;"Ústav pro studium totalitních režimů";"Praha";100
75151537;"Krajské ředitelství policie Ústeckého kraje";"Ústecký kraj";4000
75151898;"OLYMP CENTRUM SPORTU MINISTERSTVA VNITRA";"Praha";250
6599;"Úřad vlády České republiky";"Praha";500
18562;"Státní veterinární správa";"Praha";1000
19305;"STÁTNÍ VETERINÁRNÍ ÚSTAV PRAHA";"Praha";100
23205;"Institut umění-Divadelní ústav";"Praha";50
23698;"ÚSTAV PRO PÉČI O MATKU A DÍTĚ";"Praha";500
23736;"ÚSTAV HEMATOLOGIE A KREVNÍ TRANSFUZE";"Praha";500
23761;"ENDOKRINOLOGICKÝ ÚSTAV";"Praha";100
23841;"Institut postgraduálního vzdělávání ve zdravotnictví";"Praha";500
24457;"Obvodní soud pro Prahu 8";"Praha";100
24503;"Okresní soud v Berouně";"Středočeský kraj";50
24511;"Okresní soud v Kladně";"Středočeský kraj";100
24686;"Okresní soud ve Strakonicích";"Jihočeský kraj";50
24759;"Okresní soud Plzeň-město";"Plzeňský kraj";100
24791;"Okresní soud v Sokolově";"Karlovarský kraj";100
24937;"Okresní soud v Havlíčkově Brodě";"Kraj Vysočina";50
25135;"Okresní soud v Prostějově";"Olomoucký kraj";50
25178;"Okresní soud ve Znojmě";"Jihomoravský kraj";50
25224;"Okresní soud v Karviné";"Moravskoslezský kraj";200
25275;"Okresní soud v Přerově";"Olomoucký kraj";50
25283;"Okresní soud v Šumperku";"Olomoucký kraj";50
26042;"Krajské státní zastupitelství Ústí nad Labem";"Ústecký kraj";250
26069;"Krajské státní zastupitelství v Brně";"Jihomoravský kraj";250
63754;"MĚSTSKÁ ČÁST PRAHA 7";"Praha";250
63797;"MĚSTSKÁ ČÁST PRAHA 8";"Praha";250
63941;"Městská část Praha 10";"Praha";500
64203;"Fakultní nemocnice v Motole";"Praha";5000
64335;"Hudební divadlo v Karlíně";"Praha";100
68691;"Psychiatrická nemocnice Kosmonosy";"Středočeský kraj";500
75094;"Stálá divadelní scéna Klatovy, příspěvková organizace";"Plzeňský kraj";10
79481;"MUZEUM SKLA A BIŽUTERIE V JABLONCI NAD NISOU";"Liberecký kraj";25
80128;"Technické služby města Litoměřice, příspěvková organizace";"Ústecký kraj";100
84018;"Hvězdárna a planetárium v Hradci Králové";"Královéhradecký kraj";20
88447;"Komorní filharmonie Pardubice";"Pardubický kraj";25
94811;"Horácké divadlo Jihlava, příspěvková organizace";"Kraj Vysočina";50
94846;"Slovácké divadlo Uherské Hradiště, příspěvková organizace";"Zlínský kraj";50
96733;"Knihovna města Olomouce, příspěvková organizace";"Olomoucký kraj";50
98311;"Vlastivědné muzeum v Šumperku, příspěvková organizace";"Olomoucký kraj";25
100552;"Slezské divadlo Opava";"Moravskoslezský kraj";100
101435;"Technické muzeum v Brně";"Jihomoravský kraj";100
159816;"Fakultní nemocnice u sv. Anny v Brně";"Jihomoravský kraj";3000
160105;"Psychiatrická nemocnice Brno";"Jihomoravský kraj";500
177032;"Střední odborná škola stavební a Střední odborné učiliště stavební, Kolín II, Pražská 112";"Středočeský kraj";50
179230;"Psychiatrická nemocnice Havlíčkův Brod";"Kraj Vysočina";500
194972;"Barevné domky Hajnice";"Královéhradecký kraj";100
212423;"Vězeňská služba České republiky";"Praha";10000
213691;"Katastrální úřad pro Jihočeský kraj";"Jihočeský kraj";250
215651;"Vrchní soud v Praze";"Praha";200
215686;"Krajský soud v Českých Budějovicích";"Jihočeský kraj";250
215716;"Krajský soud v Hradci Králové";"Královéhradecký kraj";250
226319;"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Zlín";"Zlínský kraj";50
231215;"MĚSTSKÁ ČÁST PRAHA - NEBUŠICE";"Praha";10
231363;"Městská část Praha-Petrovice";"Praha";10
241121;"MĚSTO ČERNOŠICE";"Středočeský kraj";250
241628;"MĚSTSKÁ ČÁST PRAHA - ŘEPORYJE";"Praha";10
241661;"MĚSTSKÁ ČÁST PRAHA - SLIVENEC";"Praha";10
241687;"MĚSTSKÁ ČÁST PRAHA 13";"Praha";250
243132;"Město Příbram";"Středočeský kraj";250
245836;"Město Český Krumlov";"Jihočeský kraj";100
248789;"Město Pacov";"Kraj Vysočina";50
250937;"Divadlo ALFA, příspěvková organizace";"Plzeňský kraj";25
254657;"Statutární město Karlovy Vary";"Karlovarský kraj";500
254843;"Město Ostrov";"Karlovarský kraj";100
255513;"Město Horažďovice";"Plzeňský kraj";100
259047;"Město Rokycany";"Plzeňský kraj";200
259322;"Město Horní Slavkov";"Karlovarský kraj";25
260177;"Město Stříbro";"Plzeňský kraj";50
261891;"Statutární město Chomutov";"Ústecký kraj";250
267538;"MĚSTO CHOTĚBOŘ";"Kraj Vysočina";100
271560;"Město Hořice";"Královéhradecký kraj";100
271632;"Město Jičín";"Královéhradecký kraj";100
273571;"Město Holice";"Pardubický kraj";50
275336;"Město Rychnov nad Kněžnou";"Královéhradecký kraj";100
282651;"Město Šlapanice";"Jihomoravský kraj";100
289931;"MĚSTO MORAVSKÉ BUDĚJOVICE";"Kraj Vysočina";100
291471;"Město Uherské Hradiště";"Zlínský kraj";250
294136;"Město Bystřice nad Pernštejnem";"Jihomoravský kraj";50
297488;"Statutární město Havířov";"Moravskoslezský kraj";500
297577;"Město Orlová";"Moravskoslezský kraj";250
301493;"Město Lipník nad Bečvou";"Olomoucký kraj";50
320463;"Městský dům kultury Karviná";"Moravskoslezský kraj";50
361216;"Regionální knihovna Teplice příspěvková organizace";"Ústecký kraj";20
368563;"Muzeum a galerie severního Plzeňska v Mariánské Týnici, příspěvková organizace";"Plzeňský kraj";10
377015;"Zoologická a botanická zahrada města Plzně,příspěvková organizace";"Plzeňský kraj";100
379719;"Podkrušnohorský zoopark Chomutov, příspěvková organizace";"Ústecký kraj";50
386634;"Nemocnice Blansko";"Jihomoravský kraj";500
390780;"Nemocnice Břeclav, příspěvková organizace";"Jihomoravský kraj";500
510874;"Střední škola obchodní a Vyšší odborná škola, České Budějovice, Husova 9";"Jihočeský kraj";100
511676;"Domov Jeřabina Pelhřimov, příspěvková organizace";"Kraj Vysočina";50
514152;"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Enterprise Nationale";"Jihočeský kraj";500
518557;"Hotelová škola, Plzeň, U Borského parku 3";"Plzeňský kraj";100
520152;"Střední odborná škola obchodu, užitého umění a designu, Plzeň, Nerudova 33";"Plzeňský kraj";50
529681;"Střední odborná škola a Střední odborné učiliště, Trutnov, Volanovská 243";"Královéhradecký kraj";25
555878;"Hotelová škola, Obchodní akademie a Střední průmyslová škola Teplice, Benešovo náměstí 1, příspěvková organizace";"Ústecký kraj";100
559539;"Střední škola průmyslová a umělecká Hodonín, příspěvková organizace";"Jihomoravský kraj";50
568945;"Střední škola - Centrum odborné přípravy technické Kroměříž";"Zlínský kraj";50
577227;"Střední škola gastronomie a služeb, Přerov, Šířava 7";"Olomoucký kraj";50
601837;"Odborné učiliště a Praktická škola, Hlučín, příspěvková organizace";"Moravskoslezský kraj";25
638749;"Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Praha 1, Alšovo nábřeží 6";"Praha";100
829013;"Zdravotnická záchranná služba Ústeckého kraje, příspěvková organizace";"Ústecký kraj";500
830682;"Dům kultury Střelnice Rumburk, příspěvková organizace";"Ústecký kraj";10
844896;"Nemocnice s poliklinikou Havířov, příspěvková organizace";"Moravskoslezský kraj";500
845213;"Střední škola stavební a dřevozpracující, Ostrava, příspěvková organizace";"Moravskoslezský kraj";50
846279;"Střední škola průmyslová, Krnov, příspěvková organizace";"Moravskoslezský kraj";50
847011;"ŽIRAFA - Integrované centrum Frýdek-Místek, příspěvková organizace";"Moravskoslezský kraj";25
849863;"Zeměměřický a katastrální inspektorát v Opavě";"Moravskoslezský kraj";10
849898;"Základní škola Hlučín-Rovniny, okres Opava";"Moravskoslezský kraj";50
851213;"Střední zdravotnická škola, Šumperk, Kladská 2";"Olomoucký kraj";25
852112;"Městská kulturní zařízení Jeseník";"Olomoucký kraj";20
854379;"Základní škola Lanškroun, Dobrovského 630, okr. Ústí nad Orlicí";"Pardubický kraj";25
13584898;"Střední škola propagační tvorby a polygrafie, Velké Poříčí, Náchodská 285";"Královéhradecký kraj";50
13643606;"Střední škola polytechnická, Olomouc, Rooseveltova 79";"Olomoucký kraj";100
14450470;"Střední průmyslová škola a Střední odborné učiliště Pelhřimov";"Kraj Vysočina";100
14451026;"Střední odborná škola a Střední odborné učiliště, Nymburk, V Kolonii 1804";"Středočeský kraj";100
15530213;"Střední průmyslová škola Brno, Purkyňova, příspěvková organizace";"Jihomoravský kraj";100
25030302;"Krušnohorská poliklinika s.r.o.";"Ústecký kraj";50
25291581;"Explosia a.s.";"Pardubický kraj";500
25333411;"ESKO-T s.r.o.";"Kraj Vysočina";50
25385691;"Sportovní a rekreační zařízení města Ostravy, s.r.o.";"Moravskoslezský kraj";200
25434411;"SPORT Jablonec nad Nisou, s.r.o.";"Liberecký kraj";50
25513290;"Prádelna a čistírna Jihlava, s.r.o.";"Kraj Vysočina";50
25677675;"Český institut pro akreditaci, o.p.s.";"Praha";50
25848526;"Výstaviště Flora Olomouc, a.s.";"Olomoucký kraj";50
25951611;"Technické služby Hlinsko, s.r.o.";"Pardubický kraj";50
25968084;"Technické služby Trutnov s.r.o.";"Královéhradecký kraj";50
26154170;"Sportovní areály města Kladna s.r.o.";"Středočeský kraj";100
26298465;"KORDIS JMK, a.s.";"Jihomoravský kraj";50
26714124;"Kolektory Praha, a.s.";"Praha";100
26925974;"Nemocnice Boskovice s.r.o";"Jihomoravský kraj";500
27251918;"Obecní dům, a.s.";"Praha";50
27290981;"Technická správa města Loun s.r.o.";"Ústecký kraj";50
27504247;"FILHARMONIE Hradec Králové o.p.s.";"Královéhradecký kraj";100
27520668;"Letecké služby Hradec Králové a.s.";"Královéhradecký kraj";20
27673286;"Filharmonie Bohuslava Martinů, o.p.s.";"Zlínský kraj";50
27786331;"DPOV, a.s.";"Olomoucký kraj";250
28593987;"Vsetínská sportovní, s.r.o.";"Zlínský kraj";25
28818334;"Městské vodovody a kanalizace Dvůr Králové nad Labem s.r.o.";"Královéhradecký kraj";25
41197518;"Všeobecná zdravotní pojišťovna České republiky";"Praha";4000
42196451;"Lesy České republiky, s.p.";"Královéhradecký kraj";3000
42727227;"Domov Sedlčany, poskytovatel sociálních služeb";"Středočeský kraj";100
44553234;"Základní škola Ústí nad Labem, Pod Vodojemem 323/3A, příspěvková organizace";"Ústecký kraj";50
44992785;"Statutární město Brno";"Jihomoravský kraj";4000
45241295;"Dům dětí a mládeže Praha 12-Monet";"Praha";25
45671770;"Centrum sociálních služeb Znojmo, příspěvková organizace";"Jihomoravský kraj";250
46307745;"Základní škola Zlín, Okružní 4685, příspěvková organizace";"Zlínský kraj";50
46773282;"Speciální základní škola, Štětí, Ostrovní 300, příspěvková organizace";"Ústecký kraj";20
46773576;"Základní umělecká škola Roudnice n. L., Rvačov 112";"Ústecký kraj";25
46937145;"Domov Horizont, příspěvková organizace";"Jihomoravský kraj";200
47012790;"Pečovatelská služba Rakovník";"Středočeský kraj";25
47114321;"Oborová zdravotní pojišťovna zaměstnanců bank, pojišťoven a stavebnictví";"Praha";250
47274719;"Střední lesnická škola a Střední odborná škola, Šluknov, příspěvková organizace";"Ústecký kraj";50
47326409;"Základní škola, Most, U Stadionu 1028, příspěvková organizace";"Ústecký kraj";50
47654236;"Základní umělecká škola Iši Krejčího Olomouc, Na Vozovce 32";"Olomoucký kraj";25
48133981;"Státní zemědělský intervenční fond";"Praha";1000
